work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,Senior-level,Full-time,Data Engineer,160000,US,Remote,US,Medium
2022,Medium-level,Full-time,Data Engineer,138095,GB,On-site,GB,Medium
2022,Medium-level,Full-time,Data Engineer,106710,GB,On-site,GB,Medium
2022,Senior-level,Full-time,Data Analyst,117000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Analyst,99450,US,Remote,US,Medium
2022,Entry-level,Full-time,AI Scientist,3101,IN,On-site,IN,Small
2022,Entry-level,Full-time,Data Engineer,129000,US,Remote,US,Large
2022,Entry-level,Full-time,Data Engineer,86000,US,Remote,US,Large
2020,Entry-level,Full-time,Data Engineer,13493,IN,Remote,IN,Large
2020,Entry-level,Full-time,Data Engineer,13493,IN,Remote,IN,Large
2022,Senior-level,Full-time,Data Scientist,160000,US,On-site,US,Large
2022,Senior-level,Full-time,Data Scientist,119300,US,On-site,US,Large
2022,Senior-level,Full-time,Business Data Analyst,100000,US,Remote,US,Large
2022,Medium-level,Full-time,Data Scientist,25000,TR,Hybrid,TR,Medium
2022,Medium-level,Full-time,Data Analyst,65443,SG,Hybrid,SG,Medium
2022,Medium-level,Full-time,AI Scientist,200000,US,Remote,US,Medium
2022,Entry-level,Full-time,Machine Learning Developer,180000,US,Remote,US,Large
2022,Medium-level,Full-time,Data Scientist,153000,US,Remote,US,Large
2022,Senior-level,Full-time,Data Engineer,210000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,100000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Analyst,150075,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Analyst,110925,US,Remote,US,Medium
2022,Medium-level,Full-time,Machine Learning Scientist,22800,EG,Remote,EG,Medium
2022,Senior-level,Full-time,Data Scientist,160000,US,Remote,US,Large
